Gene_ID	WT.0h.rep1	WT.0h.rep2	WT.0h.rep3	WT.3h.rep1	WT.3h.rep2	WT.3h.rep3	WT.24h.rep1	WT.24h.rep2	WT.24h.rep3
AT2G04955	17.06631861	19.70092318	14.35154607	8.288464261	7.522177178	7.710758865	33.3151048	23.69421045	37.49478632
AT2G04965	66.83516551	60.25824889	72.08933805	34.30503263	33.1551085	45.5913917	176.5832235	141.1580593	529.6281896
AT2G05812	0.099959307	0.106394982	0.188781573	0.908560254	0.633948831	0.684968582	0.294462839	0.299082886	0.131632336
AT2G06040	7.310332227	6.84774935	6.825903424	6.357090793	6.774479107	6.84128454	11.74635002	10.95181708	12.89563079
AT2G06510	5.717918664	4.138077264	3.926825867	7.320320771	6.897868612	6.791019015	8.754364829	8.82199014	10.29375885
AT2G06530	46.29530212	44.28021373	43.53680886	60.78654344	64.66031548	65.49416615	83.34064725	93.23487143	92.70029719
AT2G06925	10.75530249	8.27230873	9.390192586	13.48608625	12.10286217	11.99951871	30.68872006	25.29162449	23.72180463
AT2G07671	0.066875696	0.122025173	0.27556448	0.066311274	0.137555768	0.070502152	0	0.126375908	2.708025745
AT2G07681	0	0	0.02310264	0	0	0	0.069951579	0	0.310095408
AT2G05205	5.885061269	6.345308978	5.952192768	3.713431368	4.731918427	3.722513632	10.56869808	9.200166078	12.47012831
AT2G07599	0.041952741	0.03827467	0	0.041598665	0.043146029	0.132683112	0.04361842	0.118917992	1.03585976
AT2G07798	0.140258217	0.127961532	0.07224258	0.173843071	0.108185753	0.073931987	0.10937024	0.231916868	0.588732294
AT2G07786	0.202716954	0.554833207	0.208826207	0.201006051	0	0.213709649	0.210765566	0	7.207641693
AT2G07733	0.068373571	0	0.211302408	0.067796507	0.210955091	0.072081252	0.071088254	0	2.633622261
AT2G10605	0	0.112907234	0	0.695372283	0.339406283	0.56536225	0.557573771	0.662619624	0.448169913
AT2G11280	0	0.1004152	0	0.545679204	0.22639083	0.290083086	0.572173753	0.935959002	0.760934012
AT2G11290	0	0	0	0.033522833	0.034769797	0	0.035150479	0.191663266	0.03339045
AT2G11310	0.01800678	0.049284282	0.037098896	0.062491819	0.009259479	0.104407767	0.121691153	0.204165935	0.240087995
AT2G12400	12.49951998	11.18727675	12.06992573	20.34313521	18.0995226	16.8529788	25.30111543	23.44122915	24.05768196
